2022-09-13 10:46:40.988443 - summa(100, 500)_{} = 600
2022-09-13 10:46:40.990439 - multi(200, 45)_{} = 9000
2022-09-13 10:46:40.991440 - summa(500, 544400)_{} = 544900
2022-09-13 10:46:40.992525 - summa(520, -53500)_{} = -52980
2022-09-13 10:46:40.993526 - summa(0, 50330)_{} = 50330
2022-09-13 10:46:40.993526 - div(563, 50)_{} = 11.26
2022-09-13 11:19:52.690891 - summa(100, 500)_{} = 600
2022-09-13 11:19:52.691892 - multi(200, 45)_{} = 9000
2022-09-13 11:19:52.692891 - summa(500, 544400)_{} = 544900
2022-09-13 11:19:52.694890 - summa(520, -53500)_{} = -52980
2022-09-13 11:19:52.694890 - summa(0, 50330)_{} = 50330
2022-09-13 11:19:52.695947 - div(563, 50)_{} = 11.26
2022-09-13 11:22:48.730408 - summa(100, 500)_{} = 600
2022-09-13 11:22:48.730408 - multi(200, 45)_{} = 9000
2022-09-13 11:22:48.731406 - summa(500, 544400)_{} = 544900
2022-09-13 11:22:48.731406 - summa(520, -53500)_{} = -52980
2022-09-13 11:22:48.732406 - summa(0, 50330)_{} = 50330
2022-09-13 11:22:48.732406 - div(563, 50)_{} = 11.26
2022-09-13 11:24:11.142591 - summa(100, 500)_{} = 600
2022-09-13 11:24:11.142591 - multi(200, 45)_{} = 9000
2022-09-13 11:24:11.143590 - summa(500, 544400)_{} = 544900
2022-09-13 11:24:11.143590 - summa(520, -53500)_{} = -52980
2022-09-13 11:24:11.143590 - summa(0, 50330)_{} = 50330
2022-09-13 11:24:11.144589 - div(563, 50)_{} = 11.26
2022-09-13 11:24:30.108252 - summa(100, 500)_{} = 600
2022-09-13 11:24:30.109337 - multi(200, 45)_{} = 9000
2022-09-13 11:24:30.109337 - summa(500, 544400)_{} = 544900
2022-09-13 11:24:30.110339 - summa(520, -53500)_{} = -52980
2022-09-13 11:24:30.110339 - summa(0, 50330)_{} = 50330
2022-09-13 11:24:30.111336 - div(563, 50)_{} = 11.26
2022-09-13 14:33:24.992312 - summa(100, 500)_{} = 600
2022-09-13 14:33:24.992312 - multi(200, 45)_{} = 9000
2022-09-13 14:33:24.993310 - summa(500, 544400)_{} = 544900
2022-09-13 14:33:24.993310 - summa(520, -53500)_{} = -52980
2022-09-13 14:33:24.994310 - summa(0, 50330)_{} = 50330
2022-09-13 14:33:24.994310 - div(563, 50)_{} = 11.26
2022-09-13 14:33:33.971447 - summa(100, 500)_{} = 600
2022-09-13 14:33:33.972449 - multi(200, 45)_{} = 9000
2022-09-13 14:33:33.972449 - summa(500, 544400)_{} = 544900
2022-09-13 14:33:33.973447 - summa(520, -53500)_{} = -52980
2022-09-13 14:33:33.973447 - summa(0, 50330)_{} = 50330
2022-09-13 14:33:33.974447 - div(563, 50)_{} = 11.26
